,index,Unnamed: 0,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version,origin_attributes,Outfit,Head,Glasses,Eyes,Extras,Skin,Mouth,Body,Background,Face,c_att
0,1389,1389,CcTQTfrQEETmKHLcvCqqUy1tStAwNKVgDuCrdgxtwsba,1000000.0,4CM3gkyJC5vip9wkXgjhKpsqc468yxSxrpZigk8wHzSV,almost_famous_pandas,Almost Famous Pandas,https://bafybeihxw53yydo5cwxaehjwqrjkwymdyhuw7dwgkz4aupmfupe3f4ykya.ipfs.dweb.link/6639.png?ext=png,Almost Famous Pandas #6640,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Clock Necklace'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'Crystal Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Inverted'}, {'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeihxw53yydo5cwxaehjwqrjkwymdyhuw7dwgkz4aupmfupe3f4ykya.ipfs.dweb.link/6639.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Clock Necklace'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'Crystal Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Inverted'}, {'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Face', 'value': 'None'}]",ClockNecklace,None,CrystalGlasses,Regular,None,None,Tongue,Inverted,Pink,None,Outfit: ClockNecklace<br>Head: None<br>Glasses: CrystalGlasses<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: Tongue<br>Body: Inverted<br>Background: Pink<br>Face: None<br>
1,1388,1388,BDY8JqE4BpQMrKwLNMYnUNXskx8xzpHzdcYAqD7DY6sZ,99999.0,2froCtjMQk4ic1yfB3oArtiV3Ga9jxy3Gt78mEpDZHgx,almost_famous_pandas,Almost Famous Pandas,https://bafybeiaifjweizhvql6j75lsyscdrgl7i5hvycre6ghzdtutyabeife3hy.ipfs.dweb.link/8197.png?ext=png,Almost Famous Pandas #8198,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Diamond Dress'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'Blue Shutter Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'Tattoos'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Inverted'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeiaifjweizhvql6j75lsyscdrgl7i5hvycre6ghzdtutyabeife3hy.ipfs.dweb.link/8197.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Diamond Dress'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'Blue Shutter Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'Tattoos'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Inverted'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Face', 'value': 'None'}]",DiamondDress,None,BlueShutterShades,Regular,None,Tattoos,Tongue,Inverted,Purple,None,Outfit: DiamondDress<br>Head: None<br>Glasses: BlueShutterShades<br>Eyes: Regular<br>Extras: None<br>Skin: Tattoos<br>Mouth: Tongue<br>Body: Inverted<br>Background: Purple<br>Face: None<br>
2,1387,1387,5J81s5mT8ZJCWQx57gAvFX295uGjaJNp8cFn5H9Rtrg3,50000.0,8v5vMaCX3xy6eTyQf84cdaso1trbf51WYLtM4L8GWg7N,almost_famous_pandas,Almost Famous Pandas,https://bafybeiflmpoejbvorf5b77rpvgnuoxyh4fnfjgcah3no63y5dvwuhhrzla.ipfs.dweb.link/2649.png?ext=png,Almost Famous Pandas #2650,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Yellow Swimsuit'}, {'trait_type': 'Head', 'value': 'Flattop'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'White Monochrome'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeiflmpoejbvorf5b77rpvgnuoxyh4fnfjgcah3no63y5dvwuhhrzla.ipfs.dweb.link/2649.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Yellow Swimsuit'}, {'trait_type': 'Head', 'value': 'Flattop'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'White Monochrome'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'None'}]",YellowSwimsuit,Flattop,None,Regular,None,None,None,WhiteMonochrome,Teal,None,Outfit: YellowSwimsuit<br>Head: Flattop<br>Glasses: None<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: None<br>Body: WhiteMonochrome<br>Background: Teal<br>Face: None<br>
3,1386,1386,EafvQSVK3tBmMTiQFCkjzQfqqUsMACC3A1jVrfHZJnjG,7777.0,Aa7gcnMQ9gvfABrHwG5mhYQjKKbVd936T3QdeGidJiru,almost_famous_pandas,Almost Famous Pandas,https://bafybeicc7oiznspb54iuc5lfkhrhzthu2dx73ext7zrsaax7w2xxtd7d4q.ipfs.dweb.link/8267.png?ext=png,Almost Famous Pandas #8268,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Big Grey Suit'}, {'trait_type': 'Head', 'value': 'Purple Headphones'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'Joint'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'White Monochrome'}, {'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeicc7oiznspb54iuc5lfkhrhzthu2dx73ext7zrsaax7w2xxtd7d4q.ipfs.dweb.link/8267.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Big Grey Suit'}, {'trait_type': 'Head', 'value': 'Purple Headphones'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'Joint'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'White Monochrome'}, {'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Face', 'value': 'None'}]",BigGreySuit,PurpleHeadphones,None,Regular,Joint,None,None,WhiteMonochrome,Pink,None,Outfit: BigGreySuit<br>Head: PurpleHeadphones<br>Glasses: None<br>Eyes: Regular<br>Extras: Joint<br>Skin: None<br>Mouth: None<br>Body: WhiteMonochrome<br>Background: Pink<br>Face: None<br>
4,1385,1385,FthHyRE7N7gmNjStLtES75s9LD3C9uZrjsRTEL4ujCeb,3500.0,FfjdA4H2oJAzptYgD9njzW4ieodfJqeU7JYP2hJh4ZE5,almost_famous_pandas,Almost Famous Pandas,https://bafybeibn5fydapaztynoa6gqqmmykcoo6kj2c5b5u33vdzbbxl3yyjmklu.ipfs.dweb.link/4858.png?ext=png,Almost Famous Pandas #4859,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Clock Necklace'}, {'trait_type': 'Head', 'value': 'Newsboy Cap'}, {'trait_type': 'Glasses', 'value': 'Blue Reggie Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Black Tongue'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeibn5fydapaztynoa6gqqmmykcoo6kj2c5b5u33vdzbbxl3yyjmklu.ipfs.dweb.link/4858.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Clock Necklace'}, {'trait_type': 'Head', 'value': 'Newsboy Cap'}, {'trait_type': 'Glasses', 'value': 'Blue Reggie Glasses'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Black Tongue'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Face', 'value': 'None'}]",ClockNecklace,NewsboyCap,BlueReggieGlasses,Regular,None,None,BlackTongue,Base,Purple,None,Outfit: ClockNecklace<br>Head: NewsboyCap<br>Glasses: BlueReggieGlasses<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: BlackTongue<br>Body: Base<br>Background: Purple<br>Face: None<br>
5,1384,1384,31L7EKbk7bDJUhehCc6WbPBytLpAjWxJAWsUoHdZHNaN,3500.0,59zMoeYcvwSgALzjDWL4X1tafBsBYU3VPxc374p5Coji,almost_famous_pandas,Almost Famous Pandas,https://bafybeib5ra63f65gveqsn7q254cask7samncciklvgcwxq2xjpyrn2bcgu.ipfs.dweb.link/6199.png?ext=png,Almost Famous Pandas #6200,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Blanket'}, {'trait_type': 'Head', 'value': 'Top Hat'}, {'trait_type': 'Glasses', 'value': 'Gold Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Purple'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeib5ra63f65gveqsn7q254cask7samncciklvgcwxq2xjpyrn2bcgu.ipfs.dweb.link/6199.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Blanket'}, {'trait_type': 'Head', 'value': 'Top Hat'}, {'trait_type': 'Glasses', 'value': 'Gold Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Purple'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]",Blanket,TopHat,GoldShades,Regular,None,None,Closed,Purple,Gold,None,Outfit: Blanket<br>Head: TopHat<br>Glasses: GoldShades<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: Closed<br>Body: Purple<br>Background: Gold<br>Face: None<br>
6,1383,1383,6pzCXkqvoS3qpcAXGQ87mQ9paKA5iaHinf1g1oH6v6T5,1250.0,FMQqWK9GSXerA7tQXsGzmjhgdcbB5pc9SDYtNmiUq9c7,almost_famous_pandas,Almost Famous Pandas,https://bafybeiew7c5atkccsn5gdzihbm3gfuyyt5j73hsgjzrrbjg42vyupsmlhu.ipfs.dweb.link/4524.png?ext=png,Almost Famous Pandas #4525,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Green Suspender Suit'}, {'trait_type': 'Head', 'value': 'Red Dome Hat'}, {'trait_type': 'Glasses', 'value': 'Pink Shutter Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'Mask'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeiew7c5atkccsn5gdzihbm3gfuyyt5j73hsgjzrrbjg42vyupsmlhu.ipfs.dweb.link/4524.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Green Suspender Suit'}, {'trait_type': 'Head', 'value': 'Red Dome Hat'}, {'trait_type': 'Glasses', 'value': 'Pink Shutter Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Face', 'value': 'Mask'}]",GreenSuspenderSuit,RedDomeHat,PinkShutterShades,Regular,None,None,None,Base,Teal,Mask,Outfit: GreenSuspenderSuit<br>Head: RedDomeHat<br>Glasses: PinkShutterShades<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: None<br>Body: Base<br>Background: Teal<br>Face: Mask<br>
7,1382,1382,AzE16ototCLY6VtSvinq6DkGGcHrfVnv2LfdHG98XCae,1001.0,3Fc9rSKUa8uWwztozyEi3cSrq1c8agTCmNiDQ1soeyyY,almost_famous_pandas,Almost Famous Pandas,https://bafybeiaovnlwlm5wykqfsrbis3x7windfycua2rqfdmg5xna5zibxbgl3e.ipfs.dweb.link/6920.png?ext=png,Almost Famous Pandas #6921,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Skeleton Hoodie'}, {'trait_type': 'Head', 'value': 'Blonde Curly Hair'}, {'trait_type': 'Glasses', 'value': 'Aviator Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Yellow'}, {'trait_type': 'Background', 'value': 'Dark Red'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeiaovnlwlm5wykqfsrbis3x7windfycua2rqfdmg5xna5zibxbgl3e.ipfs.dweb.link/6920.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Skeleton Hoodie'}, {'trait_type': 'Head', 'value': 'Blonde Curly Hair'}, {'trait_type': 'Glasses', 'value': 'Aviator Shades'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Yellow'}, {'trait_type': 'Background', 'value': 'Dark Red'}, {'trait_type': 'Face', 'value': 'None'}]",SkeletonHoodie,BlondeCurlyHair,AviatorShades,Regular,None,None,Closed,Yellow,DarkRed,None,Outfit: SkeletonHoodie<br>Head: BlondeCurlyHair<br>Glasses: AviatorShades<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: Closed<br>Body: Yellow<br>Background: DarkRed<br>Face: None<br>
8,1381,1381,88bhg7AGf18ZjWE1ursNgdbor84TCZYAxe1Q1JxFjLWP,1000.0,49cd56WDd1txn61ubFxqmJA3WXk2cgwL7r6RA3o9wZDQ,almost_famous_pandas,Almost Famous Pandas,https://bafybeierhvzvpqnvzvemhmklyfii4tbb7r4ryeph5rexehjpwwinwh3rhu.ipfs.dweb.link/6483.png?ext=png,Almost Famous Pandas #6484,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Blue Stripes'}, {'trait_type': 'Head', 'value': 'Fuzzballs'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Crosses'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeierhvzvpqnvzvemhmklyfii4tbb7r4ryeph5rexehjpwwinwh3rhu.ipfs.dweb.link/6483.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Blue Stripes'}, {'trait_type': 'Head', 'value': 'Fuzzballs'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Crosses'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]",BlueStripes,Fuzzballs,None,Crosses,None,None,Closed,Base,Gold,None,Outfit: BlueStripes<br>Head: Fuzzballs<br>Glasses: None<br>Eyes: Crosses<br>Extras: None<br>Skin: None<br>Mouth: Closed<br>Body: Base<br>Background: Gold<br>Face: None<br>
9,1380,1380,3BqHF6s6eFfHWKPrM8foGMFWbekEeBmD2sJrNTNwTLXE,1000.0,3ZvjkvmGEuQV9LLVCx55LysEGJfXReTNTKbx3JEF1tWK,almost_famous_pandas,Almost Famous Pandas,https://bafybeifaj2ej5mkh53dvk4dgk5ogrfbkbf2ztvj6xyomx7ptjkyimeeoyy.ipfs.dweb.link/5303.png?ext=png,Almost Famous Pandas #5304,image,"[{'address': 'A3YoUrpRZNMNvPAS7cpVQtYtF9iW5vdXcR4qTfanNL5j', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'verified': 0, 'share': 90}]","[{'trait_type': 'Outfit', 'value': 'Rhinestone Suit'}, {'trait_type': 'Head', 'value': 'Black Backwards Cap'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'DFvNsRC6ctWP9H627k1An4mjDEdyWSbNgwLKvL2DEyP6', 'share': 90}], 'files': [{'uri': 'https://bafybeifaj2ej5mkh53dvk4dgk5ogrfbkbf2ztvj6xyomx7ptjkyimeeoyy.ipfs.dweb.link/5303.png?ext=png', 'type': 'image/png'}]}",False,,1,"[{'trait_type': 'Outfit', 'value': 'Rhinestone Suit'}, {'trait_type': 'Head', 'value': 'Black Backwards Cap'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Eyes', 'value': 'Regular'}, {'trait_type': 'Extras', 'value': 'None'}, {'trait_type': 'Skin', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}, {'trait_type': 'Body', 'value': 'Base'}, {'trait_type': 'Background', 'value': 'Gold'}, {'trait_type': 'Face', 'value': 'None'}]",RhinestoneSuit,BlackBackwardsCap,CloutGoggles,Regular,None,None,Tongue,Base,Gold,None,Outfit: RhinestoneSuit<br>Head: BlackBackwardsCap<br>Glasses: CloutGoggles<br>Eyes: Regular<br>Extras: None<br>Skin: None<br>Mouth: Tongue<br>Body: Base<br>Background: Gold<br>Face: None<br>
